AgeMaison,Quartier_Target,Indicateur_Confort,Chambres_par_Superficie,LoyerMensuel_Log1
20.0,0.0104279347496862,2,0.021691973969631236,12.205732587717067
23.0,0.0021282935342442,2,0.01842468908337172,13.559070013571311
24.0,0.0021815008726003,3,0.022087244616234125,13.983434802390136
2.0,0.0016361256544502,3,0.02370604504148558,14.23384977133382
34.0,0.0016361256544502,4,0.01850709438618137,13.943842205314132
39.0,0.0019983214100155,3,0.01907668828691339,14.395831646895852
18.0,0.0021815008726003,3,0.018501387604070305,13.638722065498516
24.0,0.0020293031373026,4,0.03506721215663355,14.77102238760702
25.0,0.0021457385632134,3,0.020682523267838676,14.520838747879948
4.0,0.0021457385632134,3,0.02849002849002849,14.731801689838347
30.0,0.0019983214100155,2,0.022975301550832855,13.946915065371124
5.0,0.0021998328127062,3,0.017533606078316773,13.615143149839202
14.0,0.0020293031373026,3,0.019782393669634028,14.021925360772464
22.0,0.0021282935342442,3,0.01784651992861392,13.019269180593689
25.0,0.0020136931131695,2,0.024330900243309,12.462720603001555
4.0,0.0104279347496862,4,0.021542438604049977,13.731787586419811
25.0,0.0019983214100155,3,0.01692047377326565,13.704443792586527
39.0,0.0019983214100155,3,0.07677543186180422,13.748297530186807
38.0,0.0019983214100155,3,0.023378141437755698,14.258751104550017
33.0,0.0019983214100155,3,0.017929179740026894,14.58775908017484
7.0,0.0020612606670239,5,0.021269053527118043,14.77102238760702
1.0,0.0021815008726003,3,0.07259528130671507,13.543577154980584
19.0,0.0021998328127062,3,0.020931449502878074,13.869402921842624
15.0,0.0019983214100155,4,0.01874414245548266,11.918397239722838
20.0,0.0016361256544502,3,0.01842468908337172,13.560219519152229
32.0,0.0020612606670239,2,0.017533606078316773,14.50637112621779
32.0,0.0020293031373026,2,0.020567667626491155,14.625733412948517
22.0,0.0020293031373026,5,0.022016732716864818,14.77102238760702
20.0,0.0016361256544502,2,0.02333722287047841,13.86306090626049
1.0,0.0016361256544502,2,0.023068050749711647,14.334759604878696
20.0,0.0016361256544502,3,0.022844089091947458,13.957407610672629
12.0,0.0020451570680628,3,0.02699055330634278,13.332160662197506
16.0,0.0021815008726003,2,0.02220988339811216,13.762839472753445
14.0,0.0021815008726003,5,0.01784121320249777,13.879781230733672
4.0,0.0021815008726003,1,0.022539444027047335,13.402786668531528
12.0,0.0020293031373026,2,0.015735641227380016,14.075440322979766
13.0,0.0019983214100155,3,0.026064291920069507,14.014443380563426
21.0,0.0020136931131695,2,0.026954177897574122,12.319370080348886
20.0,0.0016361256544502,1,0.022975301550832855,13.793528717907863
7.0,0.0016361256544502,4,0.021041557075223566,14.135580436957458
26.0,0.0019983214100155,2,0.02320185614849188,13.074869173116008
0.0,0.0016361256544502,3,0.02237136465324385,13.486096354721624
5.0,0.0021815008726003,3,0.020181634712411706,13.359035799448328
39.0,0.0021457385632134,2,0.012804097311139566,13.1288681752598
28.0,0.0019983214100155,2,0.020931449502878074,14.32309653975243
0.0,0.0016361256544502,2,0.0058445353594389245,13.030241509527514
34.0,0.0016361256544502,3,0.01693480101608806,13.945681435377328
8.0,0.0019983214100155,3,0.021965952773201538,14.77102238760702
7.0,0.0021457385632134,3,0.03322259136212624,13.154363856519463
10.0,0.0019983214100155,3,0.02292526364053187,14.381007304825648
5.0,0.0021457385632134,3,0.02097168822090178,14.371981405755616
7.0,0.0016361256544502,1,0.020822488287350338,13.761499890650349
17.0,0.0016361256544502,5,0.022614201718679332,14.283909775830123
12.0,0.0020451570680628,3,0.02437835202340322,14.068023378996768
8.0,0.0020293031373026,1,0.01833180568285976,13.713377052127164
29.0,0.0020451570680628,4,0.020316944331572533,13.979091773036885
33.0,0.0020136931131695,2,0.03322259136212624,12.682955682295788
19.0,0.0020136931131695,2,0.018148820326678767,12.592708252701078
30.0,0.0104279347496862,4,0.020714655618850338,13.427181289137836
39.0,0.0021815008726003,5,0.020682523267838676,14.293581558287768
25.0,0.0021634719397689,1,0.01490312965722802,13.249716473600486
31.0,0.0021634719397689,4,0.023894862604540025,14.716601963078
9.0,0.0020293031373026,4,0.012330456226880395,14.320344869610024
20.0,0.0020293031373026,3,0.02466091245376079,14.125748816129418
27.0,0.0021282935342442,2,0.019986675549633577,13.207336678928382
39.0,0.0021815008726003,2,0.016246953696181968,12.883494326003616
2.0,0.0016361256544502,3,0.019598236158745713,13.467724561442788
13.0,0.0021998328127062,2,0.13289036544850497,12.59787146047452
39.0,0.0104279347496862,2,0.01218026796589525,12.440713844836203
11.0,0.0021815008726003,4,0.02365464222353637,14.041044051091037
20.0,0.0016361256544502,3,0.017533606078316773,14.371564581770564
17.0,0.0020612606670239,4,0.020822488287350338,14.77102238760702
34.0,0.0019983214100155,3,0.022016732716864818,14.392176729862689
11.0,0.0021998328127062,2,0.03322259136212624,13.337839206730443
23.0,0.0020451570680628,3,0.026954177897574122,12.912368008657822
15.0,0.0104279347496862,4,0.01443522194153735,13.803479473844696
37.0,0.0021815008726003,4,0.023378141437755698,13.995524454156484
4.0,0.0020293031373026,3,0.018832391713747645,13.442263334960352
3.0,0.0020612606670239,3,0.01586042823156225,14.181343935129584
